type,file_descriptor,context,proportion_count,proportion_hmean,proportion_mean,proportion_min,proportion_median,proportion_max
Child Based Q variable names,KB Files,KB Files. Questionnaire: My Daughter/Son. Completed by: Mother. At: 6 months,20,0.26,0.26,0.257,0.257,0.266
Child Based Q variable names,KC Files,KC Files. Questionnaire: My Infant Daughter/Son. Completed by: Mother. At:  15 months,17,0.319,0.369,0.284,0.294,0.939
Child Based Q variable names,KD Files,KD Files. Questionnaire: Girl/Boy toddler. Completed by: Mother. At: 18 months,59,0.297,0.323,0.28,0.285,1.0
Child Based Q variable names,KE Files,KE Files. Questionnaire: My Little Boy/Girl. Completed by: Mother. At: 24 months,6,0.326,0.326,0.326,0.326,0.326
Child Based Q variable names,KF Files,KF Files. Questionnaire: My Little Study Daughter/Son. Completed by: Mother. At: 30 months,33,0.331,0.331,0.331,0.331,0.332
Child Based Q variable names,KG Files,KG Files. Questionnaire: My 3 year old Boy/Girl. Completed by: Mother. At: 38 months,12,0.353,0.353,0.344,0.354,0.368
Child Based Q variable names,KJ Files,KJ Files. Questionnaire: My Son's/Daughter's Health & Behaviour. Completed by: Mother. At: 42 months,86,0.35,0.35,0.349,0.349,0.355
Child Based Q variable names,KK Files,KK Files. Questionnaire: My Young 4 Year Old Boy/Girl. Completed by: Mother. At: 54 months,82,0.408,0.434,0.371,0.387,0.995
Child Based Q variable names,KL Files,KL Files. Questionnaire: Development & health of my Son/Daughter. Completed by: Mother. At: 57 months,133,0.41,0.423,0.384,0.391,0.969
Child Based Q variable names,KM Files,KM Files. Questionnaire: My 5 year old Son/Daughter. Completed by: Mother. At: 65 months,49,0.643,0.754,0.417,0.956,0.999
Child Based Q variable names,KN Files,KN Files. Questionnaire: My School Boy/Girl. Completed by: Mother. At: 69 months,104,0.451,0.456,0.271,0.443,0.673
Child Based Q variable names,KP Files,KP Files. Questionnaire: My Daughter/Son Growing Up. Completed by: Mother. At: 78 months,130,0.602,0.689,0.295,0.473,0.999
Child Based Q variable names,KQ Files,KQ Files. Questionnaire: My Son/Daughter at School. Completed by: Mother. At: 81 months,97,0.455,0.455,0.45,0.454,0.486
Child Based Q variable names,KR Files,KR Files. Questionnaire: My Son/Daughter's Well-Being. Completed by: Mother. At: 91 months,349,0.479,0.483,0.466,0.474,0.977
Child Based Q variable names,KS Files,KS Files. Questionnaire: My Son/Daughter's Health. Completed by: Mother. At: 103 months,29,0.304,0.645,0.021,0.467,0.983
Child Based Q variable names,KU Files,KU Files. Questionnaire: Your Son/Daughter at 9. Completed by: Mother. At: 9 years,125,0.495,0.515,0.279,0.479,0.999
Child Based Q variable names,KV Files,KV Files. Questionnaire: Girl/Boy Health and Happiness. Completed by: Mother. At: 10 years,273,0.599,0.731,0.02,0.702,0.999
Child Based Q variable names,KW Files,KW Files. Questionnaire: Being a Girl/Boy. Completed by: Mother. At: 11 years,149,0.49,0.615,0.02,0.528,0.999
Child Based Q variable names,TA Files,TA Files. Questionnaire: My Teenage Son/Daughter . Completed by: Mother. At: 13 years,113,0.452,0.564,0.021,0.543,0.985
Child Based Q variable names,TB Files,TB Files. Questionnaire: Wellbeing of my Teenage Son/Daughter . Completed by: Mother. At: 13 years,295,0.625,0.738,0.021,0.743,0.998
Child Based Q variable names,TC Files,TC Files. Questionnaire: Your Daughter/Son 16+ Years On. Completed by: Mother. At: 61 years,101,0.539,0.71,0.024,0.636,0.999
Child Completed Q variable names,CCC Files,CCC Files. Questionnaire:  Me and My School. Completed by: Child. At:  97 months,1,0.505,0.505,0.505,0.505,0.505
Child Completed Q variable names,CCD Files,CCD Files. Questionnaire:  Some More About Me. Completed by: Child. At:  103 months,1,0.471,0.471,0.471,0.471,0.471
Child Completed Q variable names,CCE Files,CCE Files. Questionnaire:  My World. Completed by: Child. At:  110 months,1,0.446,0.446,0.446,0.446,0.446
Child Completed Q variable names,CCG Files,CCG Files. Questionnaire:  Rings & Things. Completed by: Child. At:  122 months,1,0.463,0.463,0.463,0.463,0.463
Child Completed Q variable names,CCR Files,CCR Files. Questionnaire:  Life of a Teenager. Completed by: Child. At: 14 Years,23,0.636,0.646,0.61,0.619,0.958
Child Completed Q variable names,CCS Files,CCS Files. Questionnaire:  Life of a 16+ Teenager. Completed by: Child. At:  16 Years,31,0.717,0.729,0.668,0.674,0.921
Child Completed Q variable names,CCT Files,CCT Files. Questionnaire:  Your Changing Life. Completed by: Child. At:  18 Years,39,0.789,0.789,0.782,0.786,0.831
Child Completed Q variable names,CCU Files,CCU Files. Questionnaire:  It's All About You 20+. Completed by: Child. At:  20+ Years,103,0.845,0.863,0.719,0.942,0.999
Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,46,0.004,0.447,0.001,0.709,0.709
Child clinic variable names,CIF  Files,CIF  Files. Clinic: Children in Focus. At:  4 weeks  through to  61 months,171,0.933,0.933,0.915,0.934,0.999
Child clinic variable names,F10  Files,F10  Files. Clinic: Focus 10+. At:  10+ years,56,0.524,0.532,0.511,0.514,1.0
Child clinic variable names,F11  Files,F11  Files. Clinic: Focus 11+. At:  11+ years,125,0.567,0.583,0.537,0.545,0.999
Child clinic variable names,F7  Files,F7  Files. Clinic: Focus @ 7. At:   7 years,25,0.469,0.469,0.464,0.468,0.5
Child clinic variable names,F8  Files,F8  Files. Clinic: Focus @ 8. At:   8 years,288,0.54,0.545,0.516,0.535,1.0
Child clinic variable names,F9  Files,F9  Files. Clinic: Focus @ 9. At:   9 years,20,0.528,0.55,0.5,0.501,0.987
Child clinic variable names,TF1  Files,TF1  Files. Clinic:  Teen Focus 1. At:  12.5 years,82,0.972,0.984,0.558,1.0,1.0
Child clinic variable names,TF2  Files,TF2  Files. Clinic: Teen Focus 2. At:  13.5 years,11,0.689,0.722,0.603,0.604,0.998
Child clinic variable names,TF3  Files,TF3  Files. Clinic:  Teen Focus 3. At:  15.5 years,18,0.737,0.76,0.644,0.699,0.999
Child clinic variable names,TF4  Files,TF4  Files. Clinic:  Teen Focus 4. At:  17.5 years,22,0.718,0.726,0.672,0.705,0.999
Mother based Q variable names,D Files,D Files. Questionnaire: About Yourself. Completed by: Mother. At: 12 weeks gest,14,0.184,0.184,0.184,0.184,0.184
Mother based Q variable names,F Files,F Files. Questionnaire:  Looking after the baby. Completed by: Mother. At: 8 months,3,0.269,0.269,0.269,0.269,0.269
Mother based Q variable names,J Files,J Files. Questionnaire: Mothers new questionnaire. Completed by: Mother. At: 3 years 11 months,6,0.378,0.378,0.378,0.378,0.378
Mother based Q variable names,K Files,K Files. Questionnaire:  Study mothers questionnaire. Completed by: Mother. At: 5 years 1 month,4,0.423,0.423,0.419,0.424,0.425
Mother based Q variable names,N Files,N Files. Questionnaire:  Mother and family. Completed by: Mother. At: 8 years 1 month,17,0.5,0.5,0.482,0.489,0.541
Mother based Q variable names,S Files,S Files. Questionnaire:  Twelve years on. Completed by: Mother. At: 12 years 1 month,7,0.544,0.544,0.538,0.542,0.552
Other files variable names,KZ files,KZ files. Child baseline sample data,15,0.004,0.028,0.0,0.006,0.092
Other files variable names,MZ files,MZ files. Pregnancy baseline sample data,5,0.006,0.014,0.005,0.005,0.051
Other files variable names,OA files,OA files. Data from Obstetric clinical records; abstracted by DA Lawlor,1,0.192,0.192,0.192,0.192,0.192
Other files variable names,OC files,OC files. Data from Obstetric and neonatal clinical records; abstracted by J Golding,12,0.532,0.563,0.471,0.486,0.977
