file_name,name,details,type,file_descriptor,context,missing,total,proportion
KS,ks0007a,Data available (as of 31/07/02),Child Based Q variable names,KS Files,KS Files. Questionnaire: My Son/Daughter's Health. Completed by: Mother. At: 103 months,330.0,15445.0,0.02136613790870832
KV,kv0007a,Data available (as of 31/08/07),Child Based Q variable names,KV Files,KV Files. Questionnaire: Girl/Boy Health and Happiness. Completed by: Mother. At: 10 years,313.0,15445.0,0.020265458077047587
KW,kw0007a,Data available (as of 31/05/06),Child Based Q variable names,KW Files,KW Files. Questionnaire: Being a Girl/Boy. Completed by: Mother. At: 11 years,316.0,15445.0,0.020459695694399482
TA,ta0007a,Data available (as of 31/05/08),Child Based Q variable names,TA Files,TA Files. Questionnaire: My Teenage Son/Daughter . Completed by: Mother. At: 13 years,317.0,15445.0,0.020524441566850113
TB,tb0007a,Data available (as of 31/05/08),Child Based Q variable names,TB Files,TB Files. Questionnaire: Wellbeing of my Teenage Son/Daughter . Completed by: Mother. At: 13 years,330.0,15445.0,0.02136613790870832
TC,tc0007a,Data available (as of 05/03/10),Child Based Q variable names,TC Files,TC Files. Questionnaire: Your Daughter/Son 16+ Years On. Completed by: Mother. At: 61 years,363.0,15445.0,0.02350275169957915
CCXD,CCXD900,Q18a: YP felt miserable or unhappy in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD901,Q18b: YP has been having fun in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD902,Q18c: YP did not enjoy anything at all in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD903,Q18d: YP felt so tired that they just sat around and did nothing in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD904,Q18e: YP was very restless in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD905,Q18f: YP felt they were no good any more in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD906,Q18g: YP cried a lot in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD907,Q18h: YP felt happy in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD908,Q18i: YP found it hard to think properly or concentrate in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD909,Q18j: YP hated themselves in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD910,Q18k: YP enjoyed doing lots of things in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD911,Q18l: YP felt they were a bad person in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD912,Q18m: YP felt lonely in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD913,Q18n: YP thought nobody really loved them in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
CCXD,CCXD914,Q18o: YP thought they could never be as good as other kids in the past 2 weeks,Child Completed Q variable names,CCXD Files,CCXD Files. Questionnaire:  DCSF Online Survey. Completed by: Child. At:  17.5 years,22.0,15445.0,0.001424409193913888
